,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
4179,Caucasian,18-29,Felony,Other,None,1-5,None,yes
4180,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
4181,Caucasian,18-29,Felony,Other,1-5,None,None,no
4182,Caucasian,18-29,Felony,Other,1-5,None,None,no
4183,African American,50-59,Felony,Bail Jumping,More than 10,1-5,None,no
4184,Caucasian,40-49,Misdemeanor,Resisting Officer,None,1-5,None,no
4185,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,no
4186,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4187,Other,50-59,Criminal Traffic,OAR/OAS,None,None,1-5,yes
4188,Caucasian,18-29,Misdemeanor,Other,None,1-5,1-5,yes
4189,Other,18-29,Misdemeanor,Other,1-5,1-5,None,yes
4190,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
4191,Caucasian,50-59,Misdemeanor,Bail Jumping,None,1-5,None,no
4192,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
4194,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,None,yes
4195,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,yes
4196,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
4197,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
4198,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
4199,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4200,Caucasian,18-29,Felony,Other,None,None,1-5,yes
4201,Caucasian,18-29,Felony,Other,None,None,1-5,yes
4202,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4203,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,6-10,no
4204,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,no
4205,Other,30-39,Misdemeanor,Disorderly Conduct,None,6-10,1-5,yes
4206,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
4207,Caucasian,Younger than 18,Misdemeanor,Bail Jumping,None,1-5,None,no
4208,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
4209,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,no
4210,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
4211,African American,30-39,Misdemeanor,Resisting Officer,None,None,None,no
4213,Caucasian,18-29,Felony,Bail Jumping,6-10,1-5,1-5,yes
4214,Other,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4215,African American,30-39,Misdemeanor,Resisting Officer,None,1-5,None,no
4216,Caucasian,30-39,Criminal Traffic,Other,1-5,1-5,None,no
4217,Caucasian,40-49,Felony,Other,1-5,1-5,None,no
4218,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,yes
4219,Caucasian,Younger than 18,Felony,Other,1-5,None,None,no
4220,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4221,Caucasian,40-49,Felony,Other,1-5,None,None,no
4222,Caucasian,18-29,Felony,Other,None,1-5,None,yes
4223,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,no
4224,African American,18-29,Felony,Battery,None,1-5,None,yes
4225,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
4226,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
4228,African American,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
4230,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,no
4232,African American,18-29,Felony,Other,None,None,None,no
4233,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,6-10,6-10,yes
4234,African American,18-29,Felony,Other,1-5,1-5,None,no
4235,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
4236,Caucasian,30-39,Felony,Other,1-5,None,1-5,yes
4237,African American,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,yes
4238,Caucasian,30-39,Felony,Other,6-10,1-5,1-5,yes
4239,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4240,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
4241,Other,30-39,Criminal Traffic,Other,None,None,1-5,no
4242,Caucasian,18-29,Misdemeanor,Resisting Officer,More than 10,6-10,1-5,yes
4243,Caucasian,30-39,Felony,Other,None,None,None,no
4244,Caucasian,30-39,Felony,Other,1-5,6-10,1-5,no
4246,African American,50-59,Felony,Other,None,None,None,no
4247,African American,18-29,Misdemeanor,Other,1-5,None,None,no
4248,Other,30-39,Misdemeanor,Other,None,1-5,None,no
4249,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
4250,Caucasian,40-49,Felony,Other,1-5,1-5,1-5,yes
4251,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,None,None,no
4253,Other,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
4254,African American,18-29,Misdemeanor,Battery,1-5,6-10,None,no
4255,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,no
4256,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
4257,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
4258,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,yes
4259,African American,Younger than 18,Misdemeanor,Other,None,None,None,no
4261,Caucasian,50-59,Felony,Bail Jumping,1-5,None,None,no
4262,Caucasian,18-29,Felony,Bail Jumping,1-5,More than 10,None,no
4263,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
4264,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
4265,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
4266,African American,18-29,Felony,Battery,None,6-10,None,yes
4267,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
4268,Caucasian,18-29,Misdemeanor,Resisting Officer,None,6-10,None,no
4269,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
4270,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
4271,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
4273,Caucasian,18-29,Felony,Other,None,None,None,no
4274,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
4275,Other,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
4276,Caucasian,30-39,Criminal Traffic,Other,1-5,1-5,1-5,no
4277,African American,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,yes
4278,Other,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
4279,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
4280,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
4281,African American,18-29,Felony,Other,1-5,None,None,no
4282,Other,50-59,Misdemeanor,Disorderly Conduct,None,None,1-5,no
4283,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,None,None,no
4284,African American,18-29,Felony,Other,1-5,1-5,None,no
4286,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
4287,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
4288,African American,30-39,Misdemeanor,Battery,None,1-5,None,no
4289,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
4290,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,no
4291,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
4292,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4295,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
4296,African American,18-29,Felony,Other,1-5,None,None,yes
4297,African American,18-29,Misdemeanor,Other,None,None,None,no
4298,African American,30-39,Misdemeanor,Battery,None,None,None,no
4299,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,None,None,no
4300,African American,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,yes
4301,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,1-5,None,no
4302,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
4304,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,no
4305,African American,18-29,Felony,Burglary,1-5,None,None,yes
4306,Caucasian,18-29,Felony,Other,None,None,None,yes
4308,African American,18-29,Felony,Other,1-5,1-5,None,yes
4309,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,6-10,1-5,yes
4310,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4311,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4312,African American,18-29,Misdemeanor,Other,None,1-5,None,yes
4313,Caucasian,Younger than 18,Felony,Other,None,None,None,no
4314,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
4315,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4316,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4317,Other,18-29,Felony,Other,1-5,1-5,None,yes
4318,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
4319,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
4320,African American,18-29,Felony,Battery,1-5,1-5,None,no
4321,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,1-5,yes
4322,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
4323,Caucasian,18-29,Criminal Traffic,Other,1-5,None,6-10,no
4324,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
4325,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,None,no
4327,Other,18-29,Misdemeanor,Other,1-5,6-10,1-5,yes
4328,African American,18-29,Felony,Other,None,6-10,None,yes
4329,Caucasian,50-59,Misdemeanor,Bail Jumping,None,1-5,None,no
4331,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
4333,African American,40-49,Felony,Other,1-5,1-5,None,yes
4334,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,1-5,yes
4335,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
4336,Caucasian,Younger than 18,Felony,Other,None,1-5,None,yes
4338,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
4339,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4340,Caucasian,18-29,Criminal Traffic,Other,None,None,None,yes
4341,African American,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4343,African American,40-49,Felony,Other,None,None,None,no
4344,African American,18-29,Misdemeanor,Other,None,None,None,no
4345,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
4346,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
4347,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,None,1-5,no
4348,African American,18-29,Felony,Other,1-5,None,None,no
4349,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
4350,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
4351,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
4352,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
4353,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
4354,African American,30-39,Felony,Other,1-5,None,None,no
4355,African American,18-29,Misdemeanor,Other,None,1-5,1-5,no
4356,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
4357,African American,18-29,Criminal Traffic,Operating While Intoxicated,6-10,1-5,1-5,no
4358,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,1-5,None,no
4359,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,no
4360,Caucasian,18-29,Felony,Other,None,None,None,no
4362,Caucasian,40-49,Misdemeanor,Bail Jumping,None,None,1-5,no
4363,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
4364,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
4366,African American,40-49,Misdemeanor,Other,1-5,None,None,no
4367,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4368,African American,18-29,Felony,Other,1-5,None,None,yes
4369,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,None,None,no
4370,Caucasian,30-39,Misdemeanor,Other,1-5,6-10,None,yes
4371,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
4372,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
4374,African American,30-39,Felony,Other,None,None,None,no
4375,Other,18-29,Felony,Burglary,1-5,1-5,None,yes
4376,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,None,no
4378,Caucasian,40-49,Felony,Bail Jumping,1-5,1-5,None,no
4379,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
4380,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,1-5,no
4381,Other,30-39,Misdemeanor,Battery,1-5,6-10,None,yes
4382,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4383,Caucasian,30-39,Felony,Other,None,None,None,no
4384,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4385,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4386,Caucasian,18-29,Felony,Other,1-5,None,1-5,no
4387,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4388,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
4389,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
4390,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
4391,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,no
4392,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
4394,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
4395,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4396,Caucasian,18-29,Misdemeanor,Battery,None,None,None,yes
4397,Caucasian,40-49,Misdemeanor,Battery,1-5,1-5,None,no
4398,African American,Younger than 18,Misdemeanor,Disorderly Conduct,None,None,None,no
4399,Caucasian,40-49,Felony,Battery,None,None,None,yes
4400,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4401,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4402,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,None,1-5,no
4403,African American,40-49,Misdemeanor,Battery,1-5,None,1-5,no
4404,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
4405,Caucasian,40-49,Misdemeanor,Other,None,None,1-5,no
4406,African American,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
4407,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4408,Caucasian,18-29,Felony,Other,1-5,None,None,no
4409,Caucasian,18-29,Felony,Other,1-5,1-5,6-10,no
4410,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
4411,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4412,African American,18-29,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
4413,Caucasian,18-29,Felony,Other,1-5,None,1-5,yes
4414,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4415,Caucasian,Older than 60,Misdemeanor,Bail Jumping,None,1-5,None,no
4416,Other,30-39,Felony,Burglary,1-5,6-10,1-5,yes
4417,Caucasian,18-29,Felony,Other,None,None,None,no
4418,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4419,Caucasian,18-29,Felony,Other,None,1-5,None,yes
4420,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
4421,Caucasian,50-59,Felony,Other,None,None,None,no
4422,Caucasian,18-29,Felony,Other,None,1-5,None,no
4423,Caucasian,18-29,Felony,Other,None,1-5,None,no
4424,Other,18-29,Criminal Traffic,Other,None,1-5,None,yes
4425,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,no
4426,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
4427,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,yes
4428,Caucasian,30-39,Felony,Other,None,None,None,no
4430,Caucasian,18-29,Felony,Battery,None,None,None,yes
4431,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,None,no
4432,Caucasian,40-49,Misdemeanor,Battery,None,1-5,1-5,yes
4433,African American,30-39,Misdemeanor,Other,None,None,None,no
4434,African American,30-39,Misdemeanor,Other,1-5,1-5,None,no
4435,Caucasian,Younger than 18,Felony,Burglary,1-5,1-5,None,no
4436,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
4437,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
4438,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,1-5,yes
4439,Caucasian,18-29,Felony,Other,None,None,None,no
4440,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,6-10,1-5,yes
4441,Other,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,yes
4442,African American,30-39,Felony,Other,None,None,None,no
4443,African American,40-49,Misdemeanor,Resisting Officer,None,1-5,1-5,yes
4444,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
4445,African American,18-29,Misdemeanor,Other,1-5,1-5,None,no
4446,Other,18-29,Criminal Traffic,Other,None,None,1-5,yes
4447,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,yes
4448,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
4449,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
4450,African American,30-39,Misdemeanor,Battery,None,1-5,None,no
4451,Other,18-29,Criminal Traffic,Other,None,None,None,no
4452,Caucasian,Younger than 18,Felony,Other,None,1-5,None,yes
4453,African American,30-39,Misdemeanor,Battery,1-5,1-5,1-5,yes
4454,African American,18-29,Criminal Traffic,Other,1-5,None,None,yes
4455,Caucasian,30-39,Felony,Other,None,None,None,no
4456,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4457,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
4458,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
4459,Other,Younger than 18,Criminal Traffic,Other,None,None,None,no
4460,Caucasian,Older than 60,Misdemeanor,Other,1-5,1-5,None,yes
4461,African American,18-29,Felony,Other,1-5,1-5,1-5,yes
4462,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,None,yes
4463,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
4464,Caucasian,18-29,Felony,Battery,None,None,None,no
4465,African American,18-29,Felony,Battery,1-5,1-5,None,no
4466,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
4467,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
4468,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
4469,Other,18-29,Criminal Traffic,Other,None,None,1-5,no
4470,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,None,no
4471,Other,18-29,Criminal Traffic,Other,None,None,None,no
4472,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
4473,Caucasian,18-29,Misdemeanor,Resisting Officer,6-10,1-5,None,yes
4474,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,1-5,None,yes
4475,African American,18-29,Misdemeanor,Other,1-5,None,1-5,no
4476,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4477,African American,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,no
4479,Caucasian,18-29,Felony,Other,1-5,None,None,yes
4480,Caucasian,30-39,Felony,Other,1-5,None,None,no
4481,Caucasian,30-39,Criminal Traffic,Other,None,None,None,no
4482,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4483,Caucasian,18-29,Felony,Other,None,1-5,1-5,no
4485,African American,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
4486,African American,18-29,Felony,Bail Jumping,1-5,None,None,yes
4487,African American,30-39,Misdemeanor,Other,1-5,None,None,no
4488,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
4489,Other,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
4490,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
4491,African American,18-29,Felony,Other,None,None,None,no
4492,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,None,None,no
4493,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4494,Caucasian,30-39,Misdemeanor,Battery,None,1-5,None,yes
4495,African American,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
4496,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,1-5,no
4497,African American,50-59,Misdemeanor,Resisting Officer,1-5,6-10,1-5,yes
4498,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
4499,Other,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4500,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,None,no
4502,African American,18-29,Misdemeanor,Bail Jumping,1-5,1-5,None,yes
4503,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,yes
4504,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
4505,African American,18-29,Criminal Traffic,Other,1-5,1-5,None,no
4506,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
4507,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,None,None,None,no
4510,Other,Younger than 18,Felony,Other,1-5,1-5,None,yes
4511,Other,30-39,Misdemeanor,Other,None,1-5,None,yes
4512,Other,18-29,Misdemeanor,Resisting Officer,None,None,1-5,yes
4513,Caucasian,Younger than 18,Felony,Other,None,1-5,None,yes
4514,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,no
4515,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4516,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
4517,Caucasian,18-29,Felony,Burglary,1-5,6-10,None,no
4518,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4519,Caucasian,30-39,Misdemeanor,Resisting Officer,6-10,6-10,1-5,yes
4520,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
4521,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4522,Caucasian,30-39,Felony,Other,None,None,None,no
4523,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
4524,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
4525,African American,Younger than 18,Felony,Other,None,None,None,yes
4526,Other,18-29,Misdemeanor,Other,None,1-5,None,no
4528,Caucasian,Younger than 18,Felony,Other,None,1-5,None,no
4529,African American,18-29,Felony,Other,None,1-5,None,yes
4530,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,no
4531,Other,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
4534,Caucasian,18-29,Felony,Other,None,1-5,None,yes
4535,African American,18-29,Misdemeanor,Other,None,1-5,None,no
4536,African American,40-49,Misdemeanor,Battery,None,None,1-5,no
4537,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
4538,Other,18-29,Felony,Other,1-5,1-5,None,yes
4539,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
4540,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
4541,Caucasian,18-29,Felony,Other,1-5,None,None,no
4542,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
4543,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
4544,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
4546,African American,40-49,Felony,Other,1-5,1-5,1-5,yes
4547,African American,18-29,Misdemeanor,Other,1-5,None,1-5,no
4550,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
4551,Caucasian,18-29,Misdemeanor,Battery,1-5,None,None,no
4552,Caucasian,18-29,Misdemeanor,Battery,1-5,None,None,no
4553,African American,18-29,Misdemeanor,Other,None,None,None,no
4554,Caucasian,18-29,Felony,Other,None,1-5,None,no
4555,Caucasian,18-29,Felony,Other,1-5,None,None,no
4556,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,no
4557,Caucasian,18-29,Felony,Other,None,None,None,no
4558,African American,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,yes
4559,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,None,None,no
4560,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
4561,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4562,African American,50-59,Misdemeanor,Other,None,None,None,yes
4563,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,yes
4564,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,no
4565,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4566,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,More than 10,1-5,yes
4567,African American,18-29,Misdemeanor,Other,1-5,None,None,no
4568,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4569,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
4571,Caucasian,18-29,Felony,Other,1-5,None,None,yes
4572,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
4573,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
4574,Other,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
4575,African American,30-39,Misdemeanor,Battery,None,1-5,1-5,no
4576,African American,40-49,Felony,Other,1-5,None,None,no
4578,African American,18-29,Felony,Other,1-5,1-5,None,yes
4579,Other,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
4580,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
4581,Caucasian,50-59,Misdemeanor,Resisting Officer,None,1-5,None,yes
4582,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
4583,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
4584,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
4585,African American,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4586,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
4587,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,no
4588,African American,50-59,Misdemeanor,Other,None,None,None,no
4589,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
4591,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
4592,African American,30-39,Felony,Battery,1-5,1-5,None,no
4593,African American,18-29,Misdemeanor,Battery,1-5,None,None,no
4594,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,None,None,yes
4595,African American,18-29,Felony,Other,1-5,None,1-5,no
4596,Other,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
4597,African American,18-29,Felony,Other,1-5,1-5,None,yes
4598,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
4599,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
4600,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
4601,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
4602,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
